timestamp,distance,data source
2026-04-01T21:25:55Z,3.36,Fitbit App
2026-04-01T21:26:55Z,14.09,Fitbit App
2026-04-01T21:27:55Z,17.45,Fitbit App
2026-04-01T21:28:55Z,11.41,Fitbit App
2026-04-01T21:29:55Z,30.20,Fitbit App
2026-04-01T21:33:55Z,3.36,Fitbit App
2026-04-01T21:34:55Z,8.72,Fitbit App
2026-04-01T21:36:55Z,1.34,Fitbit App
2026-04-01T21:37:55Z,4.03,Fitbit App
2026-04-01T21:38:55Z,3.36,Fitbit App
2026-04-01T21:39:55Z,8.05,Fitbit App
2026-04-01T21:40:55Z,30.87,Fitbit App
2026-04-01T21:41:55Z,64.08,Fitbit App
2026-04-01T21:42:55Z,4.70,Fitbit App
2026-04-01T21:43:55Z,1.34,Fitbit App
2026-04-01T21:46:55Z,4.03,Fitbit App
2026-04-01T21:47:55Z,75.34,Fitbit App
2026-04-01T21:48:55Z,21.47,Fitbit App
2026-04-01T21:49:55Z,14.09,Fitbit App
2026-04-01T21:50:55Z,8.72,Fitbit App
2026-04-01T21:51:55Z,19.46,Fitbit App
2026-04-01T21:53:55Z,2.01,Fitbit App
2026-04-01T21:54:55Z,16.78,Fitbit App
2026-04-01T21:55:55Z,24.83,Fitbit App
2026-04-01T21:58:55Z,3.36,Fitbit App
2026-04-01T21:59:55Z,8.72,Fitbit App
2026-04-01T22:00:55Z,10.07,Fitbit App
2026-04-01T22:04:55Z,3.36,Fitbit App
2026-04-01T22:05:55Z,15.43,Fitbit App
2026-04-01T22:06:55Z,26.84,Fitbit App
2026-04-01T22:07:55Z,36.91,Fitbit App
2026-04-01T22:08:55Z,26.84,Fitbit App
2026-04-01T22:09:55Z,7.38,Fitbit App
2026-04-01T22:17:55Z,9.39,Fitbit App
2026-04-01T22:18:55Z,14.09,Fitbit App
2026-04-01T22:23:55Z,3.36,Fitbit App
2026-04-01T22:24:55Z,3.36,Fitbit App
2026-04-01T22:26:55Z,2.01,Fitbit App
2026-04-01T22:27:55Z,4.03,Fitbit App
2026-04-01T22:28:55Z,5.37,Fitbit App
2026-04-01T22:29:55Z,16.78,Fitbit App
2026-04-01T22:31:55Z,2.68,Fitbit App
2026-04-01T22:32:55Z,7.38,Fitbit App
2026-04-01T22:33:55Z,11.41,Fitbit App
2026-04-01T22:34:55Z,9.39,Fitbit App
2026-04-01T22:35:55Z,10.74,Fitbit App
2026-04-01T22:36:55Z,8.05,Fitbit App
2026-04-01T22:37:55Z,12.75,Fitbit App
2026-04-01T22:39:55Z,6.71,Fitbit App
2026-04-01T22:40:55Z,13.42,Fitbit App
2026-04-01T22:41:55Z,6.04,Fitbit App
2026-04-01T22:42:55Z,10.07,Fitbit App
2026-04-01T22:45:55Z,2.01,Fitbit App
2026-04-01T22:46:55Z,21.47,Fitbit App
2026-04-01T22:47:55Z,11.41,Fitbit App
2026-04-01T22:48:55Z,2.01,Fitbit App
2026-04-01T22:51:55Z,2.68,Fitbit App
2026-04-01T22:52:55Z,13.42,Fitbit App
2026-04-01T22:53:55Z,4.03,Fitbit App
2026-04-01T22:54:55Z,26.17,Fitbit App
2026-04-01T22:55:55Z,3.36,Fitbit App
2026-04-01T22:56:55Z,15.43,Fitbit App
2026-04-01T22:57:55Z,40.26,Fitbit App
2026-04-01T22:58:55Z,10.74,Fitbit App
2026-04-01T23:01:55Z,2.68,Fitbit App
2026-04-01T23:02:55Z,10.07,Fitbit App
2026-04-01T23:04:55Z,3.36,Fitbit App
2026-04-01T23:05:55Z,22.81,Fitbit App
2026-04-01T23:06:55Z,4.03,Fitbit App
2026-04-01T23:07:55Z,18.12,Fitbit App
2026-04-01T23:10:55Z,3.36,Fitbit App
2026-04-01T23:11:55Z,15.43,Fitbit App
2026-04-01T23:12:55Z,2.68,Fitbit App
2026-04-01T23:13:55Z,2.68,Fitbit App
2026-04-01T23:14:55Z,16.10,Fitbit App
2026-04-01T23:15:55Z,2.68,Fitbit App
2026-04-01T23:20:55Z,5.37,Fitbit App
2026-04-01T23:21:55Z,4.70,Fitbit App
2026-04-01T23:26:55Z,10.74,Fitbit App
2026-04-01T23:27:55Z,18.12,Fitbit App
